,cnpj,type,nome_social,nome_comercial,status,email,telefone,cep,pais,uf,municipio,bairro,complemento,logradouro,data_patrimonio_liquido,valor_patrimonio_liquido,codigo_cvm,data_inicio_situacao,data_registro
0,76621457000185,CORRETORAS,4UM DTVM S.A.,4UM INVESTIMENTOS,CANCELADA,controle@4um.com.br,33519966,80420210,BRASIL,PR,CURITIBA,CENTRO,4º ANDAR,R. VISCONDE DO RIO BRANCO 1488,2005-12-31,4228660.18,2275,2006-10-05,1968-01-15
1,33817677000176,CORRETORAS,ABC BRASIL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,ABC BRASIL CORRETORA,CANCELADA,regina.tkatch@abcbrasil.com.br,31702172,1453000,,SP,SÃO PAULO,ITAIM BIBI,2º ANDAR,"AV. CIDADE JARDIM, 803",2002-12-31,0.00,3514,2002-10-14,2002-10-14
2,10664027000132,CORRETORAS,ABERTURA CCVM LTDA,ABERTURA CCVM LTDA,CANCELADA,,,50010240,BRASIL,PE,RECIFE,,,R DO IMP.D.PEDRO II 239/CJ.102,1989-12-31,5995252.29,329,1990-06-12,1986-07-08
3,44527444000155,CORRETORAS,ABN AMRO CORRETORA DE T-TULOS E VALORES MOBILI-RIOS LTDA.,,EM FUNCIONAMENTO NORMAL,canal.comunicacao@br.abnamro.com,30737417,4551010,,SP,SÃO PAULO,VILA OLIMPIA,"11¦ ANDAR, CJ. 111","RUA FIDÛNCIO RAMOS, N¦ 302, TORRE B",2022-12-31,3729687.41,3794,2022-06-20,2022-06-20
4,33819590000138,CORRETORAS,AÇÃO S.A. CORRETORA DE VALORES E CÂMBIO,ACAO SA CVC,CANCELADA,,5095755,20040040,BRASIL,RJ,RIO DE JANEIRO,CENTRO,,"PRAÇA OLAVO BILAC, 28/ SL. 608",2000-12-31,291862.38,1112,2001-04-11,1968-04-19
5,92856905000186,CORRETORAS,ACTION CCVM S.A.,ACTION CORRETORA,CANCELADA,rcardoso@advancedcorretora.com.br,2287977,1422001,BRASIL,SP,SÃO PAULO,JARDIM PAULISTA,,AL FRANCA 1050/ 6 AND/CJ 63-64,2004-12-31,666907.71,2500,2000-02-23,1967-05-22
6,24159923000159,CORRETORAS,ACTION S.A. EMPREENDIMENTOS E PARTICIPAÇÕES,ACTION DISTRIBUIDORA,CANCELADA,paulo.kneip@rendimento.com.br,31788923,1451000,BRASIL,SP,SÃO PAULO,JARDIM PAULISTANO,2092 7º AND SL 71,AV.BRIG. FARIA LIMA,1999-12-31,629349.55,736,1993-06-23,1988-10-06
7,43050917000103,CORRETORAS,"ACTIVTRADES CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS LTDA",,EM FUNCIONAMENTO NORMAL,rramos@activtrades.com,30542864,88020302,,SC,FLORIANÓPOLIS,CENTRO,ESTAÇÃO CIDADE MIL,"AV. MAURO RAMOS, 1512, ÁTICO 01 E 02",2022-12-31,8518211.92,3786,2021-12-10,2021-12-10
8,09259391000138,CORRETORAS,ADEMAR WANDERLEY - CCVM LTDA,ADEMAR WANDERLE,CANCELADA,,,58030000,BRASIL,PB,JOÃO PESSOA,,,AV EPITACIO PESSOA 1019,1992-12-31,0.00,280,1993-12-21,1985-03-21
9,35937283000187,CORRETORAS,ADOLPHO OLIVEIRA & ASSOCIADOS CORRETORA DE VALORES E CAMBIO S/A,ADOLPHO OLIVEIRA & ASSOCIADOS CVC S/A,CANCELADA,,2923922,20010120,BRASIL,RJ,RIO DE JANEIRO,CENTRO,,"RUA DO MERCADO, 33 - PARTE",1995-12-31,0.00,1325,1997-03-18,1989-11-29
10,00271457000130,CORRETORAS,AGENDA ESTUDOS E PROJETOS ECONÔMICOS LTDA.,AGENDA ESTUDOS E PROJETOS ECONÔMICOS LTDA.,CANCELADA,fundos@agendaccvm.com.br,30778110,22640100,BRASIL,RJ,RIO DE JANEIRO,BARRA DA TIJUCA,SALA 208/ BLOCO 22,"AV. DAS AMÉRICAS, 500",2002-12-31,0.00,3000,2002-10-01,1994-10-19
11,26027326000104,CORRETORAS,"AGM S.A. CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS",AGM,CANCELADA,,1006,30130140,BRASIL,MG,BELO HORIZONTE,,,"R. PARAIBA,321",1995-12-31,1871180.52,787,1997-05-30,1989-09-25
12,74014747000135,CORRETORAS,AGORA CTVM S.A.,AGORA-SENIOR CTVM S.A .,EM FUNCIONAMENTO NORMAL,ipc.supervisao.corretoras@bradesco.com.br,21786198,1310917,,SP,SÃO PAULO,BELA VISTA,3° ANDAR,"AVENIDA PAULISTA ,1450",2022-12-31,449810368.63,2895,1993-12-22,1993-12-22
13,00397331000107,CORRETORAS,AGROBANCO CORRETORA DE VALS MOBS E CAMBIO S/A-,AGROBANCO,CANCELADA,,22217,74000000,BRASIL,GO,GOIÂNIA,,,"R 05, 1016 - SETOR OESTE",1995-12-31,0.00,2941,2012-11-22,1990-03-01
14,49945272000153,CORRETORAS,AGUIAR CCVM LTDA,,CANCELADA,,2224500,11010110,BRASIL,SP,SANTOS,,,"RUA VASCONCELOS TAVARES, 10",1997-12-31,271051.95,1457,1995-12-12,1978-04-25
15,05452073000138,CORRETORAS,ALBATROSS CCV S.A.,ALBATROSS CCV S.A.,CANCELADA,albatross@albastrossccv.com.br,32930334,1311200,BRASIL,SP,SÃO PAULO,BELA VISTA,1º ANDAR,"AV PAULISTA, 1439",2018-12-31,7434620.07,140,2019-10-23,1975-07-18
16,62178421000164,CORRETORAS,ALFA CORRETORA DE CAMBIO E VALORES MOBILIARIOS S.A,ALFA CORRETORA DE CAMBIO E VALORES MOBILIARIOS S.A,EM FUNCIONAMENTO NORMAL,jelanir@bancoalfa.com.br,31755050,1418000,,SP,SÃO PAULO,CERQUEIRA CESAR,6º ANDAR,"ALAMEDA SANTOS, 466",2022-12-31,312849190.14,2160,1968-07-15,1968-07-15
17,03882245000188,CORRETORAS,"ALPES CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS LTDA",ALPES CCTVM LTDA,CANCELADA,alpes@alpes.com.br,31928910,1310200,BRASIL,SP,SÃO PAULO,BELA VISTA,8 ANDAR,"AV PAULISTA, 1754",2015-12-31,65270.28,3484,2017-07-05,2001-09-27
18,99988065000154,CORRETORAS,ALVES FERREIRA CV LTDA,,CANCELADA,,,80020,BRASIL,PR,CURITIBA,,,"RUA MAL.DEODORO, 235 - 2 ANDAR",,,2747,1993-04-29,1991-12-27
19,85010361000171,CORRETORAS,ALVES FERREIRA CV LTDA,ALVES FERREIRA,CANCELADA,alvesf@bvpr.com.br e alves.ferreira@terra.com.br,3231122,80420900,BRASIL,PR,CURITIBA,CENTRO,"7ºANDAR, CJ 72","RUA COMENDADOR ARAUJO, 143",2005-12-31,959316.61,2771,2006-02-15,1992-05-04
20,75724195000111,CORRETORAS,ALVES MEYER CT LTDA,ALVES MEYER,CANCELADA,,5640,80420000,BRASIL,PR,CURITIBA,CENTRO,,"R.COMENDADOR ARAUJO,143/16 AND",1995-12-31,0.00,3115,1988-12-15,1988-10-06
21,17312661000155,CORRETORAS,AMARIL FRANKLIN CTV LTDA,AMARIL CTV,EM FUNCIONAMENTO NORMAL,investimentos@amarilfranklin.com.br,32358128,30180100,,MG,BELO HORIZONTE,CENTRO,3º E 5º ANDARES,"RUA GUAJAJARAS, 581",2022-12-31,11260352.45,590,1967-08-25,1967-08-25
22,92666494000166,CORRETORAS,ANTONIO DELAPIEVE SA CCVM,ANTONIO DELAPIEVE,CANCELADA,,1375,90010170,BRASIL,RS,PORTO ALEGRE,,,PCA MONTEVIDEO 79,1992-12-31,47948383677.04,2496,1994-10-19,1967-11-29
23,36210052000130,CORRETORAS,APLICAP S/A CVM,APLICAP,LIQUIDAÇÃO EXTRAJUDICIAL,,22201,20050003,BRASIL,RJ,RIO DE JANEIRO,CENTRO,,"R SETE DE SETEMBRO,43-10 ANDAR",1997-12-31,7067952.86,1155,1998-02-16,1990-03-13
24,81742017000116,CORRETORAS,"ARAUCÁRIA CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.",ARAUCARIA,CANCELADA,,2324080,80430180,BRASIL,PR,CURITIBA,CENTRO,,"AL DR CARLOS DE CARVALHO, 795",2001-12-31,0.00,2623,2004-05-21,1989-12-13
25,33829086000119,CORRETORAS,ARGOS CCVM S/A,ARGOS,LIQUIDAÇÃO EXTRAJUDICIAL,,22571,20071000,BRASIL,RJ,RIO DE JANEIRO,,,"AV PRES VARGAS 446, 4 AND",1995-12-31,0.00,1139,1990-09-14,1968-01-08
