,codigo_cvm,cnpj,nome_social,nome_comercial,status,telefone,uf,municipio,logradouro,data_patrimonio_liquido,valor_patrimonio_liquido,data_inicio_situacao,data_registro
0,2275,76621457000185,4UM DTVM S.A.,4UM INVESTIMENTOS,CANCELADA,33519966,PR,CURITIBA,R. VISCONDE DO RIO BRANCO 1488,2005-12-31,4228660.18,2006-10-05,1968-01-15
1,1112,33819590000138,AÇÃO S.A. CORRETORA DE VALORES E CÂMBIO,ACAO SA CVC,CANCELADA,35095755,RJ,RIO DE JANEIRO,"PRAÇA OLAVO BILAC, 28/ SL. 608",2000-12-31,291862.38,2001-04-11,1968-04-19
2,2500,92856905000186,ACTION CCVM S.A.,ACTION CORRETORA,CANCELADA,32287977,SP,SAO PAULO,AL FRANCA 1050/ 6 AND/CJ 63-64,2004-12-31,666907.71,2000-02-23,1967-05-22
3,736,24159923000159,ACTION S.A. EMPREENDIMENTOS E PARTICIPAÇÕES,ACTION DISTRIBUIDORA,CANCELADA,31788923,SP,SAO PAULO,AV.BRIG. FARIA LIMA,1999-12-31,629349.55,1993-06-23,1988-10-06
4,2895,74014747000135,AGORA CTVM S.A.,AGORA-SENIOR CTVM S.A .,EM FUNCIONAMENTO NORMAL,21786198,SP,SAO PAULO,"AVENIDA PAULISTA ,1450",2022-12-31,449810368.63,1993-12-22,1993-12-22
5,140,5452073000138,ALBATROSS CCV S.A.,ALBATROSS CCV S.A.,CANCELADA,32930334,SP,SAO PAULO,"AV PAULISTA, 1439",2018-12-31,7434620.07,2019-10-23,1975-07-18
6,2160,62178421000164,ALFA CORRETORA DE CAMBIO E VALORES MOBILIARIOS S.A,ALFA CORRETORA DE CAMBIO E VALORES MOBILIARIOS S.A,EM FUNCIONAMENTO NORMAL,31755050,SP,SAO PAULO,"ALAMEDA SANTOS, 466",2022-12-31,312849190.14,1968-07-15,1968-07-15
7,3484,3882245000188,"ALPES CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS LTDA",ALPES CCTVM LTDA,CANCELADA,31928910,SP,SAO PAULO,"AV PAULISTA, 1754",2015-12-31,65270.28,2017-07-05,2001-09-27
8,2771,85010361000171,ALVES FERREIRA CV LTDA,ALVES FERREIRA,CANCELADA,33231122,PR,CURITIBA,"RUA COMENDADOR ARAUJO, 143",2005-12-31,959316.61,2006-02-15,1992-05-04
9,590,17312661000155,AMARIL FRANKLIN CTV LTDA,AMARIL CTV,EM FUNCIONAMENTO NORMAL,32358128,MG,BELO HORIZONTE,"RUA GUAJAJARAS, 581",2022-12-31,11260352.45,1967-08-25,1967-08-25
10,3379,3449895000134,ARROW DTVM S/A,ARROW DTVM S/A,CANCELADA,32428082,PA,BELEM,"AV.SENADOR LEMOS,247/CONJ.102",1999-12-31,1167368.83,2000-11-24,1999-11-03
11,1040,33775974000104,ATIVA INVESTIMENTOS S.A. C.T.C.V.,ATIVA S/A CTCV,EM FUNCIONAMENTO NORMAL,39578326,RJ,RIO DE JANEIRO,"AV DAS AMERICAS, 3.500",2022-12-31,66197970.53,1967-11-10,1967-11-10
12,2780,40425498000159,ATLANTICA COR TIT VAL MOB LTDA,ATLANTICA CTVM LTDA,CANCELADA,35323677,RJ,RIO DE JANEIRO,"RUA DA ASSEMBLEIA, 77/ 18 AND.",1998-12-31,3383541.03,1999-12-09,1992-03-23
13,3158,62122718000108,ATRIUM S.A. DTVM,ATRIUM S.A. CVM,CANCELADA,30455266,SP,SAO PAULO,"AV. DR. CARDOSO DE MELO, 1955",2002-12-31,3803018.24,2003-10-23,1995-12-13
14,116,4967022000186,ATTUAL PARTICIPAÇÕES LTDA,ATTUAL,CANCELADA,32342250,AM,MANAUS,"RUA BARROSO,162",2002-12-31,1161413.78,2003-12-29,1983-08-22
15,2330,76645704000183,AUREUM CONSULTORIA LTDA,AUREUM,CANCELADA,32225006,PR,CURITIBA,"R MARECHAL DEODORO, 252/ 1 AND",2009-12-31,195259.36,2010-06-18,1968-08-19
16,1716,60991023000137,AVAL SA CCVM,AVAL,CANCELADA,32834188,PE,RECIFE,"R.IMP.D.PEDRO II,239/1 AND/102",1993-12-31,17554800.14,1994-06-13,1967-06-09
17,1759,61384004000105,AVENUE SECURITIES DTVM LTDA.,AVENUE SECURITIES DTVM,CANCELADA,23855535,SP,SAO PAULO,"RUA SANTA JUSTINA, 660",2005-12-31,13620776.89,2006-04-07,1989-08-18
18,2356,78336633000162,BANCO ARAUCÁRIA S.A.,ARAUCARIA,CANCELADA,33106566,PR,CURITIBA,"PCA.OZORIO 400, CONJ. 1601",1990-12-31,356788453.43,1995-06-20,1990-01-01
19,833,28157204000150,BANCO SANTOS NEVES S.A.,SANTOS NEVES,CANCELADA,33343700,ES,VITORIA,R.ALBERTO DE O.SANTOS 40 LJ.6,1990-12-31,241304904.05,1991-06-05,1968-10-31
20,361,10995587000170,BANCO SIMPLES S.A.,BR MERCANTIL,CANCELADA,32395150,PE,RECIFE,"AV CONSELHEIRO AGUIAR, 2646",1999-12-31,40742797.02,1996-05-31,1968-06-11
21,2224,76550714000135,BANESTADO CVM S/A,BANESTADO CVM S/A,CANCELADA,50198101,SP,SAO PAULO,"PÇA ALFREDO E.S.ARANHA,100",2005-12-31,135902038.66,2006-06-21,1968-06-11
22,310,9793746000174,BANORTE CVM SA,BANORTE CVM SA,CANCELADA,34127649,PE,RECIFE,AV DANTAS BARRETO 507/ 1 ANDAR,1997-12-31,5589829.02,1999-11-04,1971-11-10
23,2593,93026847000126,BANRISUL S.A. CORRETORA DE VALORES MOBILIÁRIOS E CÂMBIO,BANRISUL S.A. CVMC,EM FUNCIONAMENTO NORMAL,32152877,RS,PORTO ALEGRE,"RUA CALDAS JR., 108",2022-12-31,105373833.3,1971-07-08,1971-07-08
24,388,11031473000172,BANTRIAL - CTVM LTDA,BANTRIAL,CANCELADA,34242202,PE,RECIFE,"AV MARQUES DE OLINDA,296-2 AND",2005-12-31,639448.34,2006-09-04,1970-10-07
25,3638,11634773000146,BARCLAYS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,BARCLAYS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,CANCELADA,37577707,SP,SAO PAULO,"AV. BRIG. FARIA LIMA, N 4440,",2013-12-31,142472413.08,2016-05-31,2010-04-19
26,1830,61732954000183,BCV - CORRETORA DE CÂMBIO E VALORES MOBILIÁRIOS S.A. - EM LIQUIDAÇÃO,SCHAHIN CCVM S/A,CANCELADA,21262229,SP,SAO PAULO,"ALAMEDA SANTOS, 2335",2011-12-31,20356480.9,2014-03-12,1989-08-09
27,2399,83043372000122,BESC SA CTVC - BESCAM,BESC - CORRETORA,CANCELADA,32166300,SC,FLORIANOPOLIS,"R DEODORO 209 1,2 E 4 ANDARES",1997-12-31,2911038.31,1999-06-25,1975-07-11
28,1163,33868878000100,BITTENCOURT S/A EMPREENDIMENTOS E PARTICIPAÇÕES,BITTENCOURT,CANCELADA,22521882,RJ,RIO DE JANEIRO,"RUA DO OUVIDOR, 130",2004-12-31,4809916.34,2005-06-13,1967-11-01
29,230,7700131000120,BM BEZERRA DE MENEZES PARTICIPAÇÕES S.A.,BIC,CANCELADA,35231522,CE,FORTALEZA,"RUA CANUTO DE AGUIAR, 1220",2013-12-31,232904421.88,2016-09-02,1985-07-09
30,558,17304692000164,BMG CORRETORA SA,BMG CORRETORA,CANCELADA,33392000,MG,BELO HORIZONTE,AV ALVARES CABRAL 1707/ 12 AND,1999-12-31,28288860.94,2000-01-10,1967-08-18
31,264,8030215000167,BMG S/A DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS,OAK,CANCELADA,30672210,SP,SAO PAULO,"AV.PRES.JUSCELINO KUBITSCHEK, 1830",1996-12-31,5742058.8,1995-12-07,1971-12-09
32,469,15213150000150,BOCOM BBM CCVM S.A.,BOCOM BBM CORRETORA,EM FUNCIONAMENTO NORMAL,25148448,RJ,RIO DE JANEIRO,"AV BARÃO DE TEFÉ, 34/SL 1801 E 1802",2022-12-31,18187304.77,1967-09-29,1967-09-29
33,2038,61855045000132,BRADESCO S/A CTVM,BRADESCO S/A CTVM,EM FUNCIONAMENTO NORMAL,38479888,SP,SAO PAULO,AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK,2022-12-31,2413676469.76,1967-08-04,1967-08-04
34,3123,58229246000110,BRADESCO-KIRTON CORRETORA DE CÂMBIO S.A.,CCF BRASIL,CANCELADA,21786094,SP,SAO PAULO,"AVENIDA PAULISTA, 1450",2017-12-31,423281516.45,2018-10-22,1995-09-04
35,2798,69018810000171,BRISA AGROPECUÁRIA LTDA,SENIOR ASSESSORIA E CONSULTORIA S.A.,CANCELADA,32193372,RJ,RIO DE JANEIRO,RUA DIAS FERREIRA 190/ 6 ANDAR,2001-12-31,2650481.27,2002-02-19,1992-08-12
36,1708,60889144000172,BRKB SERVIÇOS DE CONSULTORIA ECONÔMICA S.A.,BRASCAN S.A. CORRETORA,CANCELADA,32313107,RJ,RIO DE JANEIRO,"R LAURO MULLER, 116",2012-12-31,19236836.43,2013-04-17,1967-08-21
37,3522,43815158000122,BTG PACTUAL CTVM S/A,SISTEMA,EM FUNCIONAMENTO NORMAL,33832000,SP,SAO PAULO,AV. BRIGADEIRO FARIA LIMA 3477,2022-12-31,1416566922.65,2002-10-01,2002-10-01
38,906,86726452000170,BVA CCVM S/A,BVA,CANCELADA,22528100,RJ,RIO DE JANEIRO,"AV.RIO BRANCO, 109 - 13 ANDAR",1997-12-31,1710222.77,1998-08-13,1994-01-12
