,uf,id,nome,regiao,sigla_regiao
0,RO,11,RONDONIA,NORTE,N
1,AC,12,ACRE,NORTE,N
2,AM,13,AMAZONAS,NORTE,N
3,RR,14,RORAIMA,NORTE,N
4,PA,15,PARA,NORTE,N
5,AP,16,AMAPA,NORTE,N
6,TO,17,TOCANTINS,NORTE,N
7,MA,21,MARANHAO,NORDESTE,NE
8,PI,22,PIAUI,NORDESTE,NE
9,CE,23,CEARA,NORDESTE,NE
10,RN,24,RIO GRANDE DO NORTE,NORDESTE,NE
11,PB,25,PARAIBA,NORDESTE,NE
12,PE,26,PERNAMBUCO,NORDESTE,NE
13,AL,27,ALAGOAS,NORDESTE,NE
14,SE,28,SERGIPE,NORDESTE,NE
15,BA,29,BAHIA,NORDESTE,NE
16,MG,31,MINAS GERAIS,SUDESTE,SE
17,ES,32,ESPIRITO SANTO,SUDESTE,SE
18,RJ,33,RIO DE JANEIRO,SUDESTE,SE
19,SP,35,SAO PAULO,SUDESTE,SE
20,PR,41,PARANA,SUL,S
21,SC,42,SANTA CATARINA,SUL,S
22,RS,43,RIO GRANDE DO SUL,SUL,S
23,MS,50,MATO GROSSO DO SUL,CENTRO-OESTE,CO
24,MT,51,MATO GROSSO,CENTRO-OESTE,CO
25,GO,52,GOIAS,CENTRO-OESTE,CO
26,DF,53,DISTRITO FEDERAL,CENTRO-OESTE,CO
